step,action_id,action_type,difficulty,modality,reward,correct,mastery_gain,mastery_mean
1,51,question,0,,1.0233912237507363,True,0.04678244750147281,0.273992106680574
2,57,question,0,,1.023130742494243,True,0.046261484988485924,0.2755341561801902
3,15,question,0,,1.0228298675019796,True,0.04565973500395923,0.27705614734698886
4,27,question,0,,1.022828776364021,True,0.0456575527280417,0.27857806577125693
5,30,question,0,,1.0223527384701168,True,0.04470547694023365,0.28006824833593136
6,42,question,0,,1.0223010769105816,True,0.04460215382116317,0.2815549867966368
7,60,question,0,,1.0222462702262385,True,0.044492540452477164,0.28303807147838606
8,51,question,0,,1.0222216625631997,True,0.044443325126399175,0.28451951564926603
9,57,question,0,,1.0219742053695309,True,0.04394841073906163,0.28598446267390143
10,12,question,0,,1.021855784365694,True,0.04371156873138782,0.2874415149649477
11,78,question,0,,1.0218487553427145,True,0.04369751068542874,0.288898098654462
12,45,question,0,,-0.03,False,0.0,0.288898098654462
13,45,question,0,,1.0066900395522482,True,0.043380079104496067,0.29034410129127847
14,15,question,0,,1.0216883741268807,True,0.04337674825376127,0.29178999289973717
15,27,question,0,,1.0216873375458198,True,0.043374675091639614,0.29323581540279187
16,6,question,0,,1.0213809956122464,True,0.04276199122449262,0.29466121511027493
17,30,question,0,,1.021235101546611,True,0.04247020309322197,0.29607688854671566
18,42,question,0,,1.0211860230650525,True,0.042372046130105014,0.29748929008438585
19,60,question,0,,1.0211339567149267,True,0.0422679134298533,0.2988982205320476
20,21,question,0,,1.0211258438600441,True,0.04225168772008815,0.3003066101227172
21,51,question,0,,1.0211105794350397,True,0.04222115887007921,0.3017139820850532
22,57,question,0,,1.0208754951010544,True,0.04175099020210855,0.3031056817584568
23,12,question,0,,1.0207629951474093,True,0.04152599029481843,0.30448988143495076
24,78,question,0,,1.0207563175755787,True,0.04151263515115731,0.30587363593998934
25,0,question,0,,1.020650249983592,True,0.041300499967184344,0.3072503192722288
26,45,question,0,,1.0206055375746357,True,0.04121107514927126,0.30862402177720455
27,15,question,0,,1.0206039554205366,True,0.041207910841073205,0.3099976188052403
28,27,question,0,,1.020602970668529,True,0.04120594133705764,0.3113711501831422
29,6,question,0,,1.020311945831634,True,0.040623891663267984,0.3127252799052512
30,30,question,0,,-0.03,False,0.0,0.3127252799052512
31,30,question,0,,1.0051733464692805,True,0.04034669293856087,0.31407016966986984
32,42,question,0,,1.0201267219118,True,0.040253443823599765,0.3154119511306565
33,69,question,0,,-0.03,False,0.0,0.3154119511306565
34,69,question,0,,-0.06,False,0.0,0.3154119511306565
35,69,question,0,,0.9751005779670897,True,0.040201155934179625,0.31675198966179585
36,60,question,0,,0.9900772588791802,True,0.04015451775836064,0.31809047358707454
37,21,question,0,,1.005069551667042,True,0.04013910333408374,0.31942844369821066
38,51,question,0,,1.0200550504632877,True,0.04011010092657526,0.3207654470624298
39,57,question,0,,1.0198317203460017,True,0.03966344069200312,0.32208756175216324
40,12,question,0,,1.0197248453900387,True,0.03944969078007751,0.3234025514448325
41,78,question,0,,1.0197185016967998,True,0.03943700339359944,0.32471711822461913
42,0,question,0,,1.0196177374844126,True,0.039235474968825124,0.32602496739024667
43,45,question,0,,1.0195752606959039,True,0.0391505213918077,0.3273299847699736
44,15,question,0,,1.0195737576495099,True,0.039147515299019546,0.32863490194660755
45,27,question,0,,1.0195728221351024,True,0.039145644270204755,0.3299397567556144
46,72,question,0,,1.0194223056937706,True,0.03884461138754097,0.3312345771351991
47,6,question,0,,1.0192963485400524,True,0.038592697080104585,0.3325210003712026
48,30,question,0,,1.0191646791458164,True,0.03832935829163282,0.3337986456475903
49,42,question,0,,1.01912038581621,True,0.03824077163241977,0.3350733380353377
50,69,question,0,,1.0190955490687352,True,0.038191098137470646,0.33634637463992
51,60,question,0,,1.0190733959352214,True,0.038146791870442606,0.3376179343689348
52,21,question,0,,1.0190660740836899,True,0.03813214816737956,0.3388890059745141
53,51,question,0,,1.0190522979401233,True,0.0381045958802465,0.3401591591705223
54,57,question,0,,1.0188401343287015,True,0.03768026865740297,0.34141516812576905
55,9,question,0,,1.0188341394437161,True,0.03766827888743251,0.3426707774220168
56,12,question,0,,1.0187386031205368,True,0.03747720624107363,0.3439200176300526
57,78,question,0,,1.0187325766119597,True,0.03746515322391947,0.3451688560708499
58,0,question,0,,1.018636850610192,True,0.03727370122038387,0.34641131277819603
59,45,question,0,,1.0185964976611086,True,0.037192995322217315,0.3476510792889366
60,15,question,0,,1.0185950697670343,True,0.03719013953406857,0.3488907506067389
61,27,question,0,,1.0185941810283472,True,0.03718836205669452,0.3501303626752954
62,72,question,0,,1.018451190409082,True,0.03690238081816393,0.3513604420359009
63,6,question,0,,1.0183315311130496,True,0.03666306222609935,0.35258254411010415
64,24,question,0,,1.018224956863566,True,0.036449913727132015,0.35379754123434193
65,30,question,0,,1.0182064451885255,True,0.036412890377051185,0.3550113042469103
66,42,question,0,,1.0181643665253994,True,0.03632873305079878,0.35622226201527024
67,69,question,0,,1.0181407716152986,True,0.03628154323059712,0.35743164678962347
68,54,question,0,,1.018138836017579,True,0.03627767203515778,0.3586409025241287
69,60,question,0,,1.0181197261384602,True,0.03623945227692047,0.35984888426669276
70,21,question,0,,1.0181127703795052,True,0.03622554075901058,0.3610564022919931
71,51,question,0,,1.018099683043117,True,0.03619936608623416,0.3622630478282009
72,57,question,0,,1.0178981276122665,True,0.035796255224532815,0.36345625633568535
73,9,question,0,,1.0178924324715304,True,0.03578486494306088,0.3646490851671207
74,3,question,0,,1.0178430128694675,True,0.035686025738934944,0.36583861935841855
75,12,question,0,,1.01780167296451,True,0.035603345929019946,0.3670253975560525
76,78,question,0,,1.0177959477813618,True,0.0355918955627235,0.36821179407481
