episode,global_step,step,action_id,action_type,difficulty,modality,reward,correct,mastery_gain,mastery_mean
0,86,86,21,question,0,,-0.03,False,0.0,0.37205603278728405
0,87,87,21,question,0,,1.0027044117668233,True,0.03540882353364666,0.3732363269050723
0,88,88,75,question,0,,1.0176471248099705,True,0.035294249619941286,0.37441280189240367
0,89,89,39,question,0,,1.0175359940568096,True,0.03507198811361932,0.37558186816285766
0,90,90,87,question,0,,1.0174704994516042,True,0.0349409989032082,0.3767465681262979
0,91,91,36,question,0,,1.01743231564121,True,0.03486463128241997,0.3779087225023786
0,92,92,12,question,0,,1.0173812032445497,True,0.03476240648909926,0.3790674693853486
0,93,93,48,question,0,,1.0173114002931867,True,0.03462280058637319,0.38022156273822766
0,94,94,15,question,0,,1.0172576726336542,True,0.034515345267308394,0.3813720742471379
0,95,95,33,question,0,,1.0172468604342182,True,0.03449372086843637,0.3825218649427525
0,96,96,9,question,0,,1.0170977581809093,True,0.03419551636181882,0.3836617154881464
0,97,97,3,question,0,,1.0170765509674038,True,0.0341531019348076,0.3848001522193067
0,98,98,42,question,0,,1.0170545558036497,True,0.03410911160729935,0.3859371226062167
0,99,99,60,question,0,,1.017033081298862,True,0.03406616259772407,0.38707266135947416
0,100,100,81,question,0,,1.016994752952346,True,0.03398950590469212,0.38820564488963055
0,101,101,45,question,0,,1.016897319611985,True,0.03379463922396986,0.3893321328637629
0,102,102,51,question,0,,1.0168747255606314,True,0.033749451121262874,0.39045711456780496
0,103,103,63,question,0,,1.016872472998648,True,0.0337449459972959,0.3915819461010482
0,104,104,69,question,0,,1.0168636352538094,True,0.03372727050761896,0.3927061884513021
0,105,105,78,question,0,,1.016853476697311,True,0.03370695339462174,0.3938297535644562
0,106,106,30,question,0,,1.0168350810524578,True,0.03367016210491542,0.3949520923012867
0,107,107,0,question,0,,1.0168248215448004,True,0.03364964308960054,0.39607374707094006
0,108,108,21,question,0,,1.016819191178482,True,0.033638382356964334,0.3971950264828389
0,109,109,75,question,0,,1.016764768569472,True,0.03352953713894422,0.3983126777208037
0,110,110,39,question,0,,1.0166591943539691,True,0.03331838870793835,0.39942329067773497
0,111,111,87,question,0,,1.016596974479024,True,0.03319394895804779,0.40052975564300325
0,112,112,36,question,0,,1.0165606998591494,True,0.03312139971829897,0.40163380230027984
0,113,113,12,question,0,,1.016512143082322,True,0.0330242861646443,0.4027346118391013
0,114,114,48,question,0,,1.0164458302785273,True,0.032891660557054524,0.40383100052433646
0,115,115,15,question,0,,1.0163947890019716,True,0.03278957800394297,0.40492398645780125
0,116,116,33,question,0,,-0.03,False,0.0,0.40492398645780125
0,117,117,33,question,0,,1.0013845174125073,True,0.03276903482501455,0.40601628761863506
0,118,118,6,question,0,,1.0163564800516598,True,0.03271296010331974,0.40710671962207906
0,119,119,9,question,0,,1.016242870271864,True,0.032485740543727874,0.4081895776402033
0,120,120,3,question,0,,1.0162227234190335,True,0.032445446838067216,0.40927109253480554
0,121,121,42,question,0,,1.0162018280134673,True,0.03240365602693438,0.41035121440237005
0,122,122,60,question,0,,1.016181427233919,True,0.03236285446783787,0.4114299762179646
0,123,123,81,question,0,,1.0161450153047287,True,0.032290030609457517,0.41250631057161324
0,124,124,45,question,0,,1.0160524536313857,True,0.03210490726277137,0.4135764741470389
0,125,125,51,question,0,,1.0160309892825998,True,0.03206197856519973,0.4146452067658789
0,126,126,63,question,0,,1.0160288493487155,True,0.0320576986974311,0.41571379672245995
0,127,127,69,question,0,,1.016020453491119,True,0.03204090698223801,0.4167818269552012
