step,action_id,action_type,difficulty,modality,reward,correct,mastery_gain,mastery_mean
1,48,question,0,,1.0244959095546837,True,0.04899181910936756,0.18363092777960183
2,6,question,0,,1.0241389152909057,True,0.048277830581811565,0.18524018879899556
3,15,question,0,,1.0239732409910736,True,0.04794648198214696,0.18683840486506711
4,60,question,0,,1.0239712787799828,True,0.04794255755996569,0.18843649011706598
5,30,question,0,,1.0238227772784247,True,0.04764555455684929,0.19002467526896094
6,36,question,0,,-0.03,False,0.0,0.19002467526896094
7,36,question,0,,1.00840875125749,True,0.04681750251497981,0.19158525868612694
8,48,question,0,,1.0232711140769495,True,0.04654222815389918,0.19313666629125692
9,84,question,0,,1.0232131135711724,True,0.04642622714234495,0.19468420719600174
10,6,question,0,,1.0229319695263606,True,0.04586393905272099,0.19621300516442577
11,15,question,0,,1.02277457894152,True,0.045549157883039613,0.19773131042719377
12,60,question,0,,1.0227727148409838,True,0.045545429681967405,0.19924949141659268
13,30,question,0,,1.0226316384145033,True,0.04526327682900683,0.2007582673108929
14,69,question,0,,1.022598053782261,True,0.04519610756452194,0.2022648042297103
15,36,question,0,,1.0222383136946154,True,0.04447662738923082,0.203747358476018
16,66,question,0,,1.02213677214364,True,0.044273544287280094,0.20522314328559402
17,78,question,0,,1.0221360369955905,True,0.044272073991181014,0.20669887908530005
18,48,question,0,,1.022107558373102,True,0.04421511674620422,0.2081727163101735
19,12,question,0,,1.0220670362981876,True,0.04413407259637505,0.209643852063386
20,84,question,0,,-0.03,False,0.0,0.209643852063386
21,84,question,0,,1.0070524578926139,True,0.044104915785227704,0.2111140159228936
22,54,question,0,,1.022040848199346,True,0.04408169639869171,0.21258340580284998
23,6,question,0,,1.0217853710500424,True,0.043570742100084936,0.21403576387285284
24,24,question,0,,1.021653061237792,True,0.04330612247558429,0.21547930128870563
25,72,question,0,,1.02164099441698,True,0.04328198883395991,0.21692203424983764
26,15,question,0,,1.0216358499944438,True,0.04327169998888763,0.21836442424946723
27,60,question,0,,1.0216340790989344,True,0.043268158197869035,0.2198066961893962
28,87,question,0,,1.0215880274810185,True,0.04317605496203683,0.22124589802146408
29,30,question,0,,1.0215000564937782,True,0.04300011298755649,0.2226792351210493
30,69,question,0,,1.0214681510931478,True,0.04293630218629585,0.22411044519392584
31,36,question,0,,1.0211263980098846,True,0.04225279601976928,0.22551887172791812
32,66,question,0,,1.021029933536458,True,0.04205986707291609,0.22692086729701533
33,246,content,,0,0.2707662849170512,,0.1153831424585256,0.23076697204563285
34,186,content,,0,0.20400709938597758,,0.08200354969298879,0.2335004237020658
35,114,content,,0,0.3181722954593467,,0.13908614772967337,0.23813662862638826
36,259,content,,1,0.1081651452889196,,0.0415825726444598,0.2395227143812036
37,198,content,,0,0.336537291183091,,0.1482686455915455,0.24446500256758844
38,103,content,,1,0.1735178921597252,,0.07425894607986261,0.24694030077025053
39,174,content,,0,0.22298671835151826,,0.09149335917575913,0.2499900794094425
40,139,content,,1,0.260412909664864,,0.117706454832432,0.2539136279038569
41,235,content,,1,0.17682838439464085,,0.07591419219732043,0.2564441009771009
42,120,content,,0,0.25014221071854575,,0.10507110535927289,0.2599464711557433
43,211,content,,1,0.1817605297197187,,0.07838026485985936,0.262559146651072
