step,action_id,action_type,difficulty,modality,reward,correct,mastery_gain,mastery_mean
1,81,question,0,,1.0242375876575616,True,0.048475175315122965,0.2775803138977176
2,57,question,0,,1.0239444054409166,True,0.04788881088183314,0.27917660759377866
3,69,question,0,,1.0239443259707657,True,0.0478886519415313,0.28077289599182975
4,39,question,0,,-0.03,False,0.0,0.28077289599182975
5,39,question,0,,1.008470274723636,True,0.046940549447272106,0.28233758097340544
6,42,question,0,,1.0232407668224195,True,0.04648153364483877,0.28388696542823344
7,75,question,0,,1.0231745575131947,True,0.04634911502638959,0.2854319359291131
8,81,question,0,,1.0230257082746834,True,0.046051416549366814,0.2869669831474253
9,57,question,0,,1.0227471851688708,True,0.04549437033774148,0.28848346215868337
10,69,question,0,,1.0227471096722274,True,0.04549421934445474,0.28999993613683184
11,72,question,0,,1.0225849931306523,True,0.045169986261304834,0.291505602345542
12,39,question,0,,-0.03,False,0.0,0.291505602345542
13,39,question,0,,-0.06,False,0.0,0.291505602345542
14,39,question,0,,-0.09000000000000001,False,0.0,0.291505602345542
15,39,question,0,,-0.12,False,0.0,0.291505602345542
16,39,question,0,,0.9172967609874543,True,0.044593521974908505,0.29299205307803894
17,42,question,0,,-0.135,False,0.0,0.29299205307803894
18,42,question,0,,0.9020787284812984,True,0.04415745696259683,0.2944639683101255
19,75,question,0,,-0.15000000000000002,False,0.0,0.2944639683101255
20,75,question,0,,0.887015829637535,True,0.04403165927507011,0.29593169028596117
21,81,question,0,,0.9018744228609493,True,0.04374884572189847,0.2973899851433578
22,57,question,0,,0.9166098259104272,True,0.04321965182085441,0.2988306402040529
23,69,question,0,,0.9316097541886159,True,0.043219508377232,0.30027129048329404
24,30,question,0,,0.946492939071823,True,0.04298587814364618,0.30170415308808224
25,72,question,0,,0.9614557434741198,True,0.04291148694823959,0.30313453598635687
26,39,question,0,,0.9761819229380816,True,0.04236384587616308,0.304546664182229
27,42,question,0,,0.9909747920572334,True,0.04194958411446699,0.3059449836527112
28,66,question,0,,1.0059406326750917,True,0.041881265350183494,0.30734102583105066
29,75,question,0,,1.0209150381556582,True,0.041830076311316605,0.30873536170809457
30,81,question,0,,1.0207807017179018,True,0.04156140343580355,0.31012074182262134
31,63,question,0,,-0.03,False,0.0,0.31012074182262134
32,63,question,0,,1.0057321654054991,True,0.04146433081099804,0.31150288618298794
33,57,question,0,,1.0205293346149058,True,0.04105866922981169,0.3128715084906483
34,69,question,0,,1.0205292664791852,True,0.0410585329583704,0.31424012625592734
35,9,question,0,,1.0204454712454416,True,0.04089094249088311,0.3156031576722901
36,30,question,0,,1.0204182921182319,True,0.04083658423646387,0.3169643771468389
37,72,question,0,,-0.03,False,0.0,0.3169643771468389
38,72,question,0,,1.005382956300414,True,0.040765912600827604,0.3183232409001998
39,39,question,0,,1.0201228267911775,True,0.04024565358235493,0.3196647626862783
40,42,question,0,,1.0199260524543718,True,0.039852104908743635,0.3209931661832364
41,66,question,0,,1.019893601041337,True,0.03978720208267432,0.3223194062526589
42,75,question,0,,-0.03,False,0.0,0.3223194062526589
43,75,question,0,,1.0048692862478754,True,0.039738572495750774,0.3236440253358506
44,81,question,0,,1.0197416666320067,True,0.039483333264013376,0.32496013644465105
45,63,question,0,,1.019695557135224,True,0.03939111427044814,0.3262731735869993
46,57,question,0,,1.0195028678841604,True,0.0390057357683211,0.3275733647792767
47,69,question,0,,1.019502803155226,True,0.03900560631045188,0.3288735516562918
48,9,question,0,,1.0194231976831696,True,0.03884639536633896,0.3301684315018364
49,30,question,0,,-0.03,False,0.0,0.3301684315018364
50,30,question,0,,1.0043973775123205,True,0.03879475502464068,0.33146159000265774
51,72,question,0,,-0.045000000000000005,False,0.0,0.33146159000265774
52,72,question,0,,0.9893638084853931,True,0.03872761697078623,0.33275251056835065
53,15,question,0,,1.004147011477583,True,0.038294022955165874,0.3340289780001895
54,39,question,0,,1.0191166854516185,True,0.038233370903237175,0.33530342369696403
55,48,question,0,,1.0190041508546903,True,0.038008301709380854,0.3365703670872767
56,42,question,0,,1.0189297498316532,True,0.037859499663306456,0.337832350409387
57,66,question,0,,1.0188989209892703,True,0.03779784197854061,0.3390922784753383
58,75,question,0,,1.0188758219354817,True,0.03775164387096324,0.3403506666043704
59,81,question,0,,1.0187545833004064,True,0.03750916660081271,0.34160097215773083
60,63,question,0,,-0.03,False,0.0,0.34160097215773083
61,63,question,0,,1.003710779278463,True,0.03742155855692573,0.3428483574429617
62,24,question,0,,1.0185786138149504,True,0.037157227629900744,0.3440869316972917
63,57,question,0,,1.0185277244899524,True,0.03705544897990505,0.3453221133299552
64,69,question,0,,1.0185276629974647,True,0.03705532599492928,0.34655729086311954
65,9,question,0,,1.018452037799011,True,0.03690407559802201,0.34778742671638696
66,30,question,0,,1.0184275086367043,True,0.03685501727340864,0.34901592729216724
67,72,question,0,,1.0183956180611236,True,0.03679123612224691,0.35024230182957544
68,15,question,0,,-0.03,False,0.0,0.35024230182957544
69,15,question,0,,-0.06,False,0.0,0.35024230182957544
70,15,question,0,,-0.09000000000000001,False,0.0,0.35024230182957544
71,15,question,0,,0.9431896609037038,True,0.036379321807407584,0.3514549458898224
72,39,question,0,,0.9581608511790376,True,0.03632170235807532,0.35266566930175824
73,33,question,0,,0.9731046991659756,True,0.036209398331951546,0.35387264924615663
74,48,question,0,,0.988053943311956,True,0.03610788662391181,0.35507624546695365
75,42,question,0,,-0.06000000000000002,False,0.0,0.35507624546695365
76,42,question,0,,0.9729832623400706,True,0.03596652468014113,0.3562751296229584
77,66,question,0,,0.9879539749398067,True,0.03590794987961357,0.35747206128561215
78,75,question,0,,1.0029320308387075,True,0.03586406167741507,0.3586675300081927
79,81,question,0,,-0.04500000000000002,False,0.0,0.3586675300081927
80,81,question,0,,0.987816854135386,True,0.03563370827077207,0.35985532028388506
81,63,question,0,,-0.06000000000000002,False,0.0,0.35985532028388506
82,63,question,0,,-0.09000000000000001,False,0.0,0.35985532028388506
83,63,question,0,,-0.12,False,0.0,0.35985532028388506
84,63,question,0,,0.9127752403145397,True,0.035550480629079444,0.3610403363048544
85,24,question,0,,0.9276496831242028,True,0.035299366248405704,0.3622169818464679
86,57,question,0,,0.942601338265455,True,0.0352026765309098,0.3633904043974982
87,69,question,0,,-0.10500000000000002,False,0.0,0.3633904043974982
88,69,question,0,,0.9276012798475912,True,0.035202559695182815,0.3645638230540043
89,12,question,0,,0.9425637874684673,True,0.03512757493693443,0.3657347422185688
90,9,question,0,,0.9575294359090605,True,0.03505887181812091,0.36690337127917283
91,30,question,0,,0.9725061332048691,True,0.035012266409738216,0.3680704468261641
92,72,question,0,,0.9874758371580672,True,0.03495167431613457,0.3692355026367019
93,78,question,0,,1.0022982774941727,True,0.03459655498834554,0.37038872113631344
94,15,question,0,,1.0172801778585185,True,0.03456035571703721,0.371540732993548
95,39,question,0,,1.0172528086200858,True,0.03450561724017155,0.3726909202348871
96,33,question,0,,1.017199464207677,True,0.03439892841535397,0.3738375511820655
97,48,question,0,,-0.03,False,0.0,0.3738375511820655
98,48,question,0,,1.0021512461463582,True,0.03430249229271622,0.37498096759182276
99,42,question,0,,1.017084099223067,True,0.03416819844613408,0.3761199075400272
100,51,question,0,,-0.03,False,0.0,0.3761199075400272
101,51,question,0,,1.0020666043861404,True,0.034133208772280633,0.3772576811657699
102,66,question,0,,1.0170562761928164,True,0.0341125523856329,0.378394766245291
103,75,question,0,,1.0170354292967723,True,0.03407085859354432,0.37953046153174247
104,54,question,0,,1.0169411645645585,True,0.03388232912911682,0.38065987250271305
105,81,question,0,,1.0169260114286167,True,0.03385202285723347,0.38178827326462084
106,63,question,0,,1.0168864782988127,True,0.03377295659762547,0.38291403848454164
107,24,question,0,,1.0167671989679927,True,0.033534397935985415,0.3840318517490745
108,57,question,0,,1.016721271352182,True,0.0334425427043643,0.38514660317255334
109,69,question,0,,1.016721215855212,True,0.03344243171042368,0.3862613508962341
110,12,question,0,,1.0166855980950438,True,0.03337119619008771,0.38737372410257037
111,9,question,0,,1.0166529641136075,True,0.033305928227214864,0.3884839217101442
112,30,question,0,,1.0166308265446256,True,0.033261653089251296,0.3895926434797859
113,72,question,0,,1.0166020453001638,True,0.03320409060032784,0.3906994464997968
114,78,question,0,,1.0164333636194642,True,0.032866727238928264,0.39179500407442774
115,15,question,0,,1.0164161689655926,True,0.03283233793118534,0.3928894153388006
116,39,question,0,,1.0163901681890815,True,0.03278033637816298,0.3939820932180727
117,33,question,0,,1.0163394909972931,True,0.03267898199458627,0.39507139261789226
118,48,question,0,,-0.03,False,0.0,0.39507139261789226
119,48,question,0,,1.0012936838390403,True,0.03258736767808042,0.3961576382071616
120,42,question,0,,1.0162298942619137,True,0.032459788523827374,0.39723963115795585
121,51,question,0,,-0.03,False,0.0,0.39723963115795585
122,51,question,0,,1.0012132741668334,True,0.0324265483336666,0.3983205161024114
123,66,question,0,,1.0162034623831757,True,0.03240692476635126,0.39940074692795646
124,75,question,0,,-0.03,False,0.0,0.39940074692795646
