step,action_id,action_type,difficulty,modality,reward,correct,mastery_gain,mastery_mean
1,54,question,0,,1.0231459834500654,True,0.046291966900130516,0.2788432770637471
2,18,question,0,,1.0230091182492185,True,0.046018236498436796,0.28037721828036166
3,24,question,0,,1.022986605103758,True,0.04597321020751592,0.2819096586206122
4,0,question,0,,-0.03,False,0.0,0.2819096586206122
5,0,question,0,,1.0078266666119498,True,0.04565333322389909,0.28343143639474216
6,54,question,0,,-0.045000000000000005,False,0.0,0.28343143639474216
7,54,question,0,,0.991988684277562,True,0.04397736855512399,0.28489734867991295
8,60,question,0,,-0.06,False,0.0,0.28489734867991295
9,60,question,0,,0.9768643672899099,True,0.04372873457981986,0.28635497316590697
10,18,question,0,,0.9918586623367573,True,0.04371732467351496,0.28781221732169077
11,24,question,0,,1.00683727484857,True,0.04367454969714013,0.2892680356449288
12,75,question,0,,1.021721340822151,True,0.04344268164430196,0.2907161250330722
13,0,question,0,,1.021685333281352,True,0.043370666562704135,0.29216181391849566
14,3,question,0,,1.0215312550546327,True,0.04306251010926524,0.29359723092213785
15,9,question,0,,-0.03,False,0.0,0.29359723092213785
16,9,question,0,,1.0062271882161287,True,0.04245437643225703,0.29501237680321307
17,66,question,0,,1.0209438391672416,True,0.041887678334483314,0.29640863274769585
18,54,question,0,,1.020889250063684,True,0.041778500127367786,0.2978012494186081
19,60,question,0,,-0.03,False,0.0,0.2978012494186081
20,60,question,0,,1.0057711489254146,True,0.041542297850828865,0.2991859926803024
21,18,question,0,,1.0207657292199197,True,0.041531458439839214,0.30057037462829705
22,24,question,0,,1.0207454111061416,True,0.04149082221228312,0.30195340203537313
23,75,question,0,,1.0206352737810434,True,0.04127054756208687,0.3033290869541094
24,0,question,0,,-0.03,False,0.0,0.3033290869541094
25,0,question,0,,1.0056010666172845,True,0.04120213323456893,0.3047024913952617
26,69,question,0,,-0.045000000000000005,False,0.0,0.3047024913952617
27,69,question,0,,0.9905038827422576,True,0.04100776548451523,0.30606941691141215
28,3,question,0,,-0.06,False,0.0,0.30606941691141215
29,3,question,0,,-0.09000000000000001,False,0.0,0.30606941691141215
30,3,question,0,,0.9454546923019009,True,0.04090938460380198,0.3074330630648722
31,9,question,0,,0.9601658288053221,True,0.04033165761064418,0.30877745165189374
32,66,question,0,,-0.09000000000000001,False,0.0,0.30877745165189374
33,66,question,0,,0.9448966472088796,True,0.03979329441775914,0.31010389479915235
34,54,question,0,,-0.10500000000000002,False,0.0,0.31010389479915235
35,54,question,0,,0.9298447875604996,True,0.039689575120999396,0.311426880636519
36,60,question,0,,0.9447325914791437,True,0.03946518295828742,0.3127423867351286
37,18,question,0,,0.9597274427589235,True,0.03945488551784725,0.3140575495857235
38,24,question,0,,-0.09000000000000004,False,0.0,0.3140575495857235
39,24,question,0,,0.9447081405508345,True,0.03941628110166896,0.3153714256224458
40,27,question,0,,-0.10500000000000005,False,0.0,0.3153714256224458
41,27,question,0,,0.9297034756031495,True,0.039406951206299334,0.31668499066265576
42,75,question,0,,0.9446035100919913,True,0.039207020183982526,0.3179918913354552
43,0,question,0,,0.9595710132864201,True,0.03914202657284049,0.31929662555454985
44,69,question,0,,0.9744786886051447,True,0.03895737721028947,0.32059520479489284
45,6,question,0,,0.9894649089826804,True,0.03892981796536063,0.3218928653937382
46,3,question,0,,-0.06000000000000007,False,0.0,0.3218928653937382
47,3,question,0,,0.9744319576868058,True,0.03886391537361188,0.3231883292395253
48,15,question,0,,-0.07500000000000007,False,0.0,0.3231883292395253
49,15,question,0,,-0.10500000000000005,False,0.0,0.3231883292395253
50,15,question,0,,0.9292041325787714,True,0.038408265157543045,0.3244686047447767
51,9,question,0,,0.9441575373650558,True,0.038315074730111975,0.3257457739024471
52,66,question,0,,0.9589018148484356,True,0.037803629696871184,0.32700589489234283
53,54,question,0,,-0.09000000000000008,False,0.0,0.32700589489234283
54,54,question,0,,0.9438525481824745,True,0.037705096364949425,0.3282627314378411
55,60,question,0,,0.9587459619051866,True,0.03749192381037305,0.3295124622315202
56,18,question,0,,0.9737410706209774,True,0.03748214124195489,0.33076186693958537
57,24,question,0,,0.9887227335232925,True,0.037445467046585516,0.3320100491744716
58,27,question,0,,1.003718301822992,True,0.03743660364598436,0.33325793596267106
59,75,question,0,,1.0186233345873916,True,0.03724666917478339,0.3344994916018305
60,0,question,0,,1.0185924626220992,True,0.03718492524419846,0.33573898910997046
61,72,question,0,,1.0185250771141738,True,0.037050154228347475,0.33697399425091534
62,69,question,0,,1.0185047541748875,True,0.03700950834977499,0.3382076445292412
63,6,question,0,,1.0184916635335464,True,0.03698332706709259,0.3394404220981443
64,3,question,0,,-0.03,False,0.0,0.3394404220981443
65,3,question,0,,1.0034603598024658,True,0.03692071960493128,0.34067111275164197
66,48,question,0,,1.0182826520320793,True,0.036565304064158664,0.34188995622044727
67,15,question,0,,1.018243925949833,True,0.03648785189966589,0.3431062179504361
68,9,question,0,,1.018199660496803,True,0.03639932099360637,0.34431952865022303
69,66,question,0,,1.017956724106014,True,0.035913448212027625,0.34551664359062395
70,54,question,0,,1.017909920773351,True,0.03581984154670195,0.34671063830884735
71,60,question,0,,1.0178086638099273,True,0.0356173276198544,0.3478978825628425
72,18,question,0,,1.0178040170899285,True,0.03560803417985714,0.34908481703550437
73,24,question,0,,1.017786596847128,True,0.03557319369425623,0.35027059015864626
74,27,question,0,,1.0177823867318425,True,0.03556477346368515,0.35145608260743577
75,75,question,0,,-0.03,False,0.0,0.35145608260743577
76,75,question,0,,1.0026921678580223,True,0.03538433571604423,0.35263556046463723
77,0,question,0,,1.0176628394909943,True,0.03532567898198854,0.3538130830973702
78,72,question,0,,1.017598823258465,True,0.0351976465169301,0.3549863379812679
79,69,question,0,,1.0175795164661432,True,0.03515903293228624,0.3561583057456774
80,6,question,0,,1.017567080356869,True,0.03513416071373796,0.35732944443613535
81,3,question,0,,-0.03,False,0.0,0.35732944443613535
82,3,question,0,,1.0025373418123424,True,0.03507468362468472,0.35849860055695815
83,78,question,0,,1.0174797122054606,True,0.034959424410921154,0.35966391470398884
84,33,question,0,,1.0174122587516716,True,0.03482451750334327,0.3608247319541003
85,48,question,0,,1.0173685194304753,True,0.03473703886095073,0.36198263324946534
86,36,question,0,,1.0173319966528713,True,0.034663993305742845,0.3631380996929901
87,15,question,0,,1.0173317296523412,True,0.0346634593046826,0.36429354833647953
88,9,question,0,,1.017289677471963,True,0.034579354943926055,0.36544619350127705
89,57,question,0,,-0.03,False,0.0,0.36544619350127705
90,57,question,0,,1.0021887981944206,True,0.03437759638884105,0.3665921133809051
91,63,question,0,,-0.045000000000000005,False,0.0,0.3665921133809051
92,63,question,0,,-0.075,False,0.0,0.3665921133809051
93,63,question,0,,0.9571706123062023,True,0.03434122461240475,0.36773682086798526
94,66,question,0,,0.9720588879007132,True,0.03411777580142624,0.3688740800613661
95,54,question,0,,0.9870144247346835,True,0.03402884946936686,0.37000837504367834
96,60,question,0,,1.001918230619431,True,0.033836461238861686,0.3711362570849737
97,18,question,0,,1.016913816235432,True,0.03382763247086429,0.37226384483400254
98,24,question,0,,1.0168972670047718,True,0.03379453400954343,0.3733903293009873
99,27,question,0,,1.0168932673952504,True,0.03378653479050089,0.37451654712733734
100,75,question,0,,1.016807559465121,True,0.033615118930242015,0.3756370510916788
101,0,question,0,,1.0167796975164445,True,0.03355939503288911,0.37675569759277505
102,72,question,0,,1.0167188820955417,True,0.033437764191083595,0.3778702897324778
103,69,question,0,,1.016700540642836,True,0.03340108128567193,0.3789836591086669
104,6,question,0,,1.0166887263390256,True,0.03337745267805106,0.3800962408646019
105,3,question,0,,1.0166604747217252,True,0.03332094944345049,0.38120693917938364
106,78,question,0,,1.0166057265951876,True,0.0332114531903751,0.38231398761906277
107,12,question,0,,-0.03,False,0.0,0.38231398761906277
108,12,question,0,,-0.06,False,0.0,0.38231398761906277
109,12,question,0,,0.9715575837085456,True,0.033115167417091376,0.38341782653296586
110,81,question,0,,0.9865565293923277,True,0.03311305878465561,0.38452159515912104
111,33,question,0,,1.0015416458140882,True,0.0330832916281761,0.3856243715467269
112,48,question,0,,1.0165000934589516,True,0.03300018691790319,0.38672437777732366
113,39,question,0,,1.016476586343501,True,0.03295317268700184,0.3878228168668904
114,36,question,0,,1.016465396820228,True,0.0329307936404557,0.3889205099882389
115,15,question,0,,-0.03,False,0.0,0.3889205099882389
116,15,question,0,,1.0014651431697243,True,0.032930286339448465,0.39001818619955386
117,9,question,0,,1.0164251935983648,True,0.032850387196729745,0.39111319910611153
118,57,question,0,,1.0163293582846995,True,0.032658716569399,0.39220182299175815
119,63,question,0,,-0.03,False,0.0,0.39220182299175815
120,63,question,0,,1.0013120816908923,True,0.03262416338178451,0.3932892951044843
121,66,question,0,,1.0162059435056774,True,0.03241188701135494,0.39436969133819616
122,54,question,0,,1.0161637034979492,True,0.03232740699589851,0.39544727157139276
123,30,question,0,,1.0161497927567174,True,0.032299585513434904,0.3965239244218406
124,84,question,0,,-0.03,False,0.0,0.3965239244218406
125,84,question,0,,1.001076201481948,True,0.032152402963896064,0.39759567118730377
126,60,question,0,,1.0160723190884593,True,0.032144638176918594,0.3986671591265344
127,18,question,0,,-0.03,False,0.0,0.3986671591265344
128,18,question,0,,1.0010681254236606,True,0.03213625084732107,0.39973836748811176
129,24,question,0,,1.016052403654533,True,0.03210480730906625,0.4008085277317473
130,27,question,0,,1.016048604025488,True,0.032097208050975844,0.40187843466677986
131,21,question,0,,1.0160427324214225,True,0.03208546484284523,0.40294795016154134
132,75,question,0,,1.015967181491865,True,0.03193436298372992,0.4040124289276657
133,0,question,0,,1.0159407126406224,True,0.03188142528124465,0.4050751431037072
134,72,question,0,,1.0158829379907648,True,0.03176587598152941,0.4061340056364248
135,69,question,0,,1.0158655136106942,True,0.03173102722138833,0.40719170654380443
136,6,question,0,,1.0158542900220742,True,0.03170858004414851,0.4082486592119427
