step,action_id,action_type,difficulty,modality,reward,correct,mastery_gain,mastery_mean
1,66,question,0,,1.0234271049332901,True,0.04685420986658032,0.2957366648108495
2,18,question,0,,1.0232149263602752,True,0.046429852720550446,0.29728432656820114
3,69,question,0,,1.022264036603609,True,0.04452807320721808,0.29876859567510844
4,66,question,0,,-0.03,False,0.0,0.29876859567510844
5,66,question,0,,1.0072557496866257,True,0.04451149937325131,0.30025231232088345
6,33,question,0,,1.0221933732447182,True,0.04438674648943642,0.301731870537198
7,18,question,0,,1.0220541800422616,True,0.04410836008452293,0.3032021492066821
8,81,question,0,,1.0217847371672462,True,0.043569474334492236,0.30465446501783183
9,9,question,0,,1.0216682757583389,True,0.043336551516677535,0.3060990167350544
10,42,question,0,,-0.03,False,0.0,0.3060990167350544
11,42,question,0,,1.0064284833976533,True,0.04285696679530665,0.30752758229489796
12,39,question,0,,1.0213256350753086,True,0.042651270150616996,0.30894929129991855
13,69,question,0,,1.0211508347734286,True,0.042301669546857185,0.31035934695148043
14,66,question,0,,1.0211429622022943,True,0.04228592440458874,0.31176887776496676
15,33,question,0,,1.0210837045824823,True,0.0421674091649646,0.31317445807046557
16,15,question,0,,-0.03,False,0.0,0.31317445807046557
17,15,question,0,,1.00596059992151,True,0.04192119984301973,0.3145718313985662
18,18,question,0,,1.0209514710401484,True,0.04190294208029678,0.3159685961345761
19,81,question,0,,1.0206955003088838,True,0.041391000617767626,0.31734829615516835
20,9,question,0,,1.0205848619704219,True,0.041169723940843665,0.3187206202865298
21,42,question,0,,1.0203570592277706,True,0.04071411845554132,0.3200777575683812
22,39,question,0,,1.0202593533215432,True,0.04051870664308615,0.32142838112315075
23,69,question,0,,1.0200932930347573,True,0.04018658606951432,0.32276793399213455
24,66,question,0,,1.0200858140921796,True,0.0401716281843593,0.32410698826494655
25,33,question,0,,1.0200295193533582,True,0.04005903870671637,0.3254422895551704
26,15,question,0,,1.0199125699254343,True,0.039825139850868746,0.326769794216866
27,18,question,0,,1.019903897488141,True,0.039807794976281945,0.32809672071607543
28,78,question,0,,1.0198574822656943,True,0.03971496453138863,0.32942055286712174
29,21,question,0,,1.0197684032773582,True,0.03953680655471634,0.3307384464189456
30,81,question,0,,1.0196607252934395,True,0.03932145058687925,0.3320491614385082
31,9,question,0,,1.0195556188719008,True,0.03911123774380148,0.3333528693633016
32,6,question,0,,1.0195480808183,True,0.0390961616366001,0.3346560747511883
33,87,question,0,,-0.03,False,0.0,0.3346560747511883
34,87,question,0,,1.0045435279758677,True,0.039087055951735145,0.33595897661624613
35,12,question,0,,1.0194497632657011,True,0.03889952653140208,0.3372556275006262
36,42,question,0,,1.0193392062663822,True,0.03867841253276425,0.338544907918385
37,39,question,0,,1.0192463856554659,True,0.038492771310931845,0.33982800029541604
38,69,question,0,,1.0190886283830194,True,0.03817725676603861,0.3411005755209507
39,66,question,0,,1.0190815233875707,True,0.03816304677514134,0.3423726770801221
40,33,question,0,,1.0190280433856902,True,0.03805608677138055,0.34364121330583475
41,57,question,0,,-0.03,False,0.0,0.34364121330583475
42,57,question,0,,-0.06,False,0.0,0.34364121330583475
43,57,question,0,,0.9740159839746722,True,0.038031967949344284,0.3449089455708129
44,15,question,0,,0.9889169414291625,True,0.037833882858325306,0.34617007499942376
45,18,question,0,,1.003908702613734,True,0.03781740522746785,0.34743065517367266
46,78,question,0,,1.0188646081524095,True,0.03772921630481921,0.34868829571716664
47,21,question,0,,1.0187799831134903,True,0.037559966226980525,0.3499402945913993
48,81,question,0,,1.0186776890287677,True,0.037355378057535284,0.35118547385998383
49,9,question,0,,1.0185778379283057,True,0.037155675856611406,0.35242399638853755
50,6,question,0,,1.018570676777385,True,0.0371413535547701,0.3536620415070299
51,87,question,0,,1.0185663515770742,True,0.03713270315414838,0.35489979827883483
52,12,question,0,,1.018477275102416,True,0.036954550204831974,0.3561316166189959
53,42,question,0,,1.018372245953063,True,0.03674449190612604,0.3573564330158668
54,39,question,0,,1.0182840663726926,True,0.03656813274538525,0.3585753707740463
55,72,question,0,,1.0182562476489827,True,0.03651249529796531,0.35979245395064513
56,69,question,0,,1.0181341969638684,True,0.03626839392773667,0.36100140041490303
57,66,question,0,,1.018127447218192,True,0.036254894436384265,0.3622098968961158
58,33,question,0,,1.0180766412164057,True,0.036153282432811525,0.36341500631054285
59,57,question,0,,1.0180651847759385,True,0.03613036955187706,0.3646193519622721
60,54,question,0,,1.018031376033151,True,0.0360627520663021,0.3658214436978155
61,15,question,0,,-0.03,False,0.0,0.3658214436978155
62,15,question,0,,1.0029710943577046,True,0.03594218871540904,0.3670195166549958
63,18,question,0,,-0.045000000000000005,False,0.0,0.3670195166549958
64,18,question,0,,0.9879632674830472,True,0.03592653496609445,0.36821706782053226
65,78,question,0,,1.0029213777447892,True,0.035842755489578236,0.36941182633685155
