step,action_id,action_type,difficulty,modality,reward,correct,mastery_gain,mastery_mean
1,42,question,0,,1.024172030106758,True,0.04834406021351623,0.2851241178603205
2,12,question,0,,1.0235315541057024,True,0.047063108211404664,0.286692888134034
3,63,question,0,,-0.03,False,0.0,0.286692888134034
4,63,question,0,,1.0081949862956872,True,0.046389972591373896,0.28823922055374646
5,48,question,0,,1.0230187433305837,True,0.04603748666116767,0.289773803442452
6,21,question,0,,1.023009246254017,True,0.04601849250803406,0.29130775319271984
7,42,question,0,,1.0229634286014202,True,0.04592685720284041,0.29283864843281454
8,18,question,0,,1.0226745854152839,True,0.04534917083056757,0.2943502874605001
9,24,question,0,,1.022639299572678,True,0.045278599145356015,0.29585957409867863
10,12,question,0,,-0.03,False,0.0,0.29585957409867863
11,12,question,0,,-0.06,False,0.0,0.29585957409867863
12,12,question,0,,-0.09000000000000001,False,0.0,0.29585957409867863
13,12,question,0,,-0.12,False,0.0,0.29585957409867863
14,12,question,0,,0.9173549764004172,True,0.04470995280083443,0.29734990585870646
15,63,question,0,,0.9320352369809027,True,0.044070473961805204,0.2988189216574333
16,48,question,0,,0.9468678061640547,True,0.04373561232810929,0.3002767754017036
17,21,question,0,,0.9618587839413162,True,0.04371756788263236,0.301734027664458
18,42,question,0,,0.9768152571713492,True,0.04363051434269839,0.30318837814254795
19,18,question,0,,-0.07500000000000002,False,0.0,0.30318837814254795
20,18,question,0,,0.9615408561445196,True,0.04308171228903919,0.30462443521884924
21,24,question,0,,0.9765073345940442,True,0.04301466918808822,0.3060582575251189
22,45,question,0,,-0.07500000000000002,False,0.0,0.3060582575251189
23,45,question,0,,-0.10500000000000002,False,0.0,0.3060582575251189
24,45,question,0,,0.9314932560321665,True,0.04298651206433313,0.3074911412605966
25,12,question,0,,-0.12000000000000004,False,0.0,0.3074911412605966
26,12,question,0,,0.9162372275803963,True,0.042474455160792714,0.30890695643262306
27,63,question,0,,-0.13500000000000004,False,0.0,0.30890695643262306
28,63,question,0,,-0.16500000000000004,False,0.0,0.30890695643262306
29,63,question,0,,-0.19500000000000003,False,0.0,0.30890695643262306
30,63,question,0,,0.8409334751318575,True,0.041866950263714946,0.31030252144141357
31,78,question,0,,-0.21000000000000002,False,0.0,0.31030252144141357
32,248,content,,2,0.1021808876802774,,0.0560904438401387,0.31217220290275155
33,188,content,,2,0.0566984756450843,,0.03334923782254215,0.3132838441635029
34,137,content,,5,0.009636831118505294,,0.017318415559252648,0.31386112468214467
35,179,content,,5,0.037940662850952676,,0.03147033142547634,0.3149101357296606
36,131,content,,5,0.02703824004099111,,0.026019120020495556,0.3157774397303437
37,140,content,,2,-0.01,,0.0,0.3157774397303437
38,140,content,,2,0.014975544209520084,,0.012487772104760042,0.3161936988005024
39,185,content,,5,0.0473995539636923,,0.03619977698184615,0.31740035803323063
